iter	Passed	Remaining
364	8574	4228
365	8630	4221
366	8733	4235
367	8759	4212
368	8777	4186
369	8803	4163
370	8825	4139
371	8846	4114
372	8867	4089
373	8897	4067
374	8925	4046
375	8953	4024
376	8977	4000
377	8999	3976
378	9027	3953
379	9052	3930
380	9083	3910
381	9121	3892
382	9156	3873
383	9174	3846
384	9189	3819
385	9207	3792
386	9219	3764
387	9236	3737
388	9249	3709
389	9269	3684
390	9286	3657
391	9316	3636
392	9339	3612
393	9357	3586
394	9376	3560
395	9405	3539
396	9440	3519
397	9475	3499
398	9531	3487
399	9555	3463
400	9590	3444
401	9621	3422
402	9639	3396
403	9669	3374
404	9693	3350
405	9738	3334
406	9770	3312
407	9789	3287
408	9807	3261
409	9822	3234
410	9839	3208
411	9857	3182
412	9875	3156
413	9894	3130
414	9913	3105
415	9934	3080
416	9961	3057
417	9986	3034
418	10006	3009
419	10026	2983
420	10046	2959
421	10065	2933
422	10084	2908
423	10101	2882
424	10122	2858
425	10150	2835
426	10165	2809
427	10181	2783
428	10199	2757
429	10216	2732
430	10230	2706
431	10248	2680
432	10275	2657
433	10309	2636
434	10346	2616
435	10391	2597
436	10418	2574
437	10451	2553
438	10480	2530
439	10500	2505
440	10530	2483
441	10553	2459
442	10590	2438
443	10603	2412
444	10624	2387
445	10636	2361
446	10657	2336
447	10674	2311
448	10691	2285
449	10707	2260
450	10724	2235
451	10739	2209
452	10762	2185
453	10789	2162
454	10809	2138
455	10826	2112
456	10844	2088
457	10873	2065
458	10898	2042
459	10921	2018
460	10949	1995
461	10985	1973
462	11042	1955
463	11076	1933
464	11093	1908
465	11118	1884
466	11139	1860
467	11158	1835
468	11175	1810
469	11191	1785
470	11217	1762
471	11236	1737
472	11254	1713
473	11266	1687
474	11282	1662
475	11294	1637
476	11309	1612
477	11324	1587
478	11340	1562
479	11358	1538
480	11378	1513
481	11400	1490
482	11431	1467
483	11452	1443
484	11481	1420
485	11502	1396
486	11532	1373
487	11558	1350
488	11593	1327
489	11647	1307
490	11691	1285
491	11757	1266
492	11819	1246
493	11865	1224
494	11900	1202
495	11915	1177
496	11927	1151
497	11943	1127
498	11960	1102
499	11978	1078
500	11995	1053
501	12016	1029
502	12038	1005
503	12061	981
504	12085	957
505	12104	932
506	12123	908
507	12142	884
508	12170	860
509	12190	836
510	12221	813
511	12252	789
512	12285	766
513	12328	743
514	12354	719
515	12384	696
516	12410	672
517	12436	648
518	12457	624
519	12478	599
520	12496	575
521	12519	551
522	12537	527
523	12554	503
524	12566	478
525	12583	454
526	12595	430
527	12611	406
528	12629	382
529	12648	357
530	12663	333
531	12681	309
532	12697	285
533	12728	262
534	12765	238
535	12802	214
536	12833	191
537	12856	167
538	12877	143
539	12927	119
540	12957	95
541	12977	71
542	12994	47
543	13012	23
544	13033	0
