iter	Logloss
213	0.1486610818
214	0.1486369235
215	0.1485974502
216	0.1485971856
217	0.1485651329
218	0.1485569125
219	0.1485569385
220	0.1485288781
221	0.148499705
222	0.1484767418
223	0.1484451438
224	0.1484118715
225	0.1483842607
226	0.1483502791
227	0.1483502834
228	0.1483303333
229	0.1483303138
230	0.1483303442
231	0.1482918439
232	0.1482669151
233	0.1482470881
234	0.1482470946
235	0.1482279359
236	0.14819978
237	0.1481620264
238	0.1481616121
239	0.1481344954
240	0.1480982513
241	0.1480657769
242	0.1480268227
243	0.1480268379
244	0.1480267143
245	0.1479810403
246	0.1479540535
247	0.1479377948
248	0.1479371029
249	0.1479102808
250	0.1478907664
251	0.1478559647
252	0.1477898056
253	0.1477445384
254	0.1477162459
255	0.1477158815
256	0.1476762211
257	0.1476427661
258	0.1476077038
259	0.1475997193
260	0.1475992399
261	0.1475985545
262	0.1475766238
263	0.1475438736
264	0.1475438519
265	0.1475110439
266	0.147510827
267	0.1475104952
268	0.1474761846
269	0.1474360779
270	0.1474004886
271	0.1474002197
272	0.147377647
273	0.1473776101
274	0.1473560246
275	0.1473189476
276	0.147318195
277	0.1473003007
278	0.14726123
279	0.1472606335
280	0.1472413791
281	0.1472410538
282	0.147216761
283	0.1472033066
284	0.1471783542
285	0.147144608
286	0.147144595
287	0.147129219
288	0.1470964716
289	0.1470964716
290	0.1470797745
291	0.1470794838
292	0.1470425418
293	0.1470169561
294	0.146991631
295	0.1469654406
296	0.1469647965
297	0.1469647552
298	0.1469646793
299	0.1469389616
300	0.1469387251
301	0.1469386601
302	0.1469386666
303	0.1469276503
304	0.1468987163
305	0.1468986425
306	0.1468983953
307	0.1468848565
308	0.146884683
309	0.1468539873
310	0.1468340584
311	0.1468340649
312	0.1468072447
313	0.1468071992
314	0.1468070842
315	0.1468069736
316	0.1467977402
317	0.1467971198
318	0.1467969854
319	0.1467706927
320	0.1467396835
321	0.1467397074
322	0.146739677
323	0.1467392823
324	0.1467390849
325	0.1467390415
326	0.1467389765
327	0.1467389244
328	0.1467047739
329	0.1466775727
330	0.1466775619
331	0.1466771888
332	0.1466769914
333	0.1466764297
334	0.1466762692
335	0.146676074
336	0.1466493563
337	0.1466207335
338	0.1465984493
339	0.1465588246
340	0.1465306191
341	0.1464999556
342	0.1464997127
343	0.146470774
344	0.1464433473
345	0.1464160068
346	0.1463853493
347	0.1463529138
348	0.1463528661
349	0.1463212895
350	0.1462905376
351	0.1462905289
352	0.1462903858
353	0.1462901429
354	0.1462826123
355	0.1462825472
356	0.1462704853
357	0.1462701665
358	0.1462442712
359	0.1462442647
360	0.1462441215
361	0.146218226
362	0.1461933974
363	0.1461632961
364	0.1461632744
365	0.146139372
366	0.14611003
367	0.1460823257
368	0.1460822975
369	0.1460735958
370	0.1460666245
371	0.1460432167
372	0.1460429889
373	0.1460428566
374	0.1460426527
375	0.1460113506
376	0.1460111251
377	0.1460108908
378	0.1460107151
379	0.1460102596
380	0.146009854
381	0.145991424
382	0.1459703505
383	0.1459703527
384	0.1459703462
385	0.1459575578
386	0.1459575296
387	0.1459236173
388	0.1459235977
389	0.1458987949
390	0.1458987863
391	0.1458678216
392	0.145843108
393	0.1458429106
394	0.1458175832
395	0.1458120538
396	0.1458000397
397	0.1457999963
398	0.1457867524
399	0.1457867134
400	0.1457549523
401	0.145721812
402	0.1457218012
403	0.1456904761
404	0.1456904154
405	0.1456898081
406	0.1456626804
407	0.1456511241
408	0.1456277638
409	0.1456275946
410	0.1456067807
411	0.1456050781
412	0.1455693612
413	0.1455488578
414	0.1455486952
415	0.1455429428
416	0.1455135552
417	0.1454975223
418	0.1454974594
419	0.1454968954
420	0.1454966351
421	0.1454738387
422	0.1454538707
423	0.1454537384
424	0.1454521463
425	0.1454353105
426	0.1454353366
427	0.1454349201
428	0.1454117509
429	0.1453849071
430	0.1453847791
431	0.1453460153
432	0.1453210307
433	0.1453190027
434	0.1453053294
435	0.1452721402
436	0.145271882
437	0.1452474225
438	0.1452264871
439	0.1452264437
440	0.1452172212
441	0.1452171974
442	0.1451895427
443	0.1451895362
444	0.1451666083
445	0.1451665974
446	0.1451217101
447	0.1450998356
448	0.145071491
449	0.1450713543
450	0.1450653181
451	0.1450652769
452	0.1450400883
453	0.1450100787
454	0.1449822607
455	0.144960579
456	0.1449313531
457	0.1448982588
458	0.1448536185
459	0.1448536337
460	0.1448387652
461	0.1448031309
462	0.1447836337
463	0.1447689341
464	0.1447688561
465	0.1447531739
466	0.1447261408
467	0.1446992296
468	0.1446991993
469	0.1446991906
470	0.1446988782
471	0.1446988631
472	0.1446731083
473	0.1446731039
474	0.1446643217
475	0.1446643087
476	0.1446641721
477	0.1446639942
478	0.1446638944
479	0.1446505035
480	0.1446501955
481	0.1446370536
482	0.1446105331
483	0.1445837309
484	0.1445623401
485	0.1445623032
486	0.1445368804
487	0.144512984
488	0.1444906083
489	0.1444738354
490	0.1444479334
491	0.144447851
492	0.1444414589
493	0.1444411509
494	0.14442186
495	0.1444217126
496	0.1444217169
497	0.1444065383
498	0.1443770356
499	0.1443576452
500	0.1443481146
501	0.1443221673
502	0.1443057913
503	0.1442853529
504	0.1442853703
505	0.1442825246
506	0.1442480744
507	0.1442480571
508	0.1442274475
509	0.1442274258
510	0.1442202681
511	0.1442039876
512	0.1441785237
513	0.144149965
514	0.1441499563
515	0.1441315568
516	0.1441313703
517	0.1441175667
518	0.1440975034
519	0.1440958985
520	0.1440958877
521	0.144095892
522	0.1440741441
523	0.1440551003
524	0.1440551003
525	0.1440315427
526	0.1440315449
527	0.144007341
528	0.143983113
529	0.1439546232
530	0.1439546037
531	0.1439435983
532	0.1439435961
533	0.1439258266
534	0.143904141
535	0.1438831084
536	0.143862915
537	0.1438626937
538	0.1438627046
539	0.1438623944
540	0.1438620886
541	0.1438619823
542	0.1438619758
543	0.1438545773
544	0.1438542845
