iter	Logloss
0	0.5416229217
1	0.4348711091
2	0.3677203788
3	0.3203306621
4	0.2887218958
5	0.2667173219
6	0.2441928943
7	0.2300221692
8	0.2181904083
9	0.2105050794
10	0.2050115885
11	0.1996441165
12	0.1936291868
13	0.1904076424
14	0.1867601405
15	0.184017156
16	0.1805812257
17	0.1787417368
18	0.1771624535
19	0.1748278342
20	0.1731435817
21	0.1719721278
22	0.1706888834
23	0.1695895612
24	0.168790917
25	0.1680539862
26	0.1668424964
27	0.1660649027
28	0.1655096172
29	0.1647520201
30	0.1638874588
31	0.1632977475
32	0.162852709
33	0.1621311025
34	0.16157829
35	0.1611953678
36	0.1608502446
37	0.1605569784
38	0.1600726442
39	0.1597043913
40	0.1592301375
41	0.1589601283
42	0.1586410813
43	0.1583744619
44	0.1580622241
45	0.1578339463
46	0.1576244199
47	0.1573902766
48	0.1571520187
49	0.1568992769
50	0.1567564334
51	0.1565888628
52	0.1563606946
53	0.1562237963
54	0.1559148887
55	0.1555973212
56	0.1554922007
57	0.1553399792
58	0.1552420229
59	0.1551061088
60	0.1549680222
61	0.1548866878
62	0.154680277
63	0.1545536487
64	0.1544245035
65	0.1542848874
66	0.1541821455
67	0.1540819645
68	0.1539833662
69	0.1538417241
70	0.1537334536
71	0.1536552608
72	0.1535553709
73	0.1534773305
74	0.1533964587
75	0.1533107236
76	0.1532581067
77	0.1531924939
78	0.1531140091
79	0.1530266451
80	0.1529367315
81	0.1528732975
82	0.1528118719
83	0.1527194681
84	0.152643973
85	0.1525690464
86	0.1525136027
87	0.1524615984
88	0.1523540639
89	0.1523054119
90	0.1522516732
91	0.1522100322
92	0.1521471564
93	0.152043545
94	0.151989167
95	0.1518873552
96	0.1518501471
97	0.1517936743
98	0.1517386941
99	0.1516667875
100	0.1515676004
101	0.1514911472
102	0.1514438294
103	0.1513972264
104	0.1513197835
105	0.1512579109
106	0.1512189205
107	0.1511811577
108	0.1511349316
109	0.1511053509
110	0.1510697403
111	0.1510110718
112	0.1509604306
113	0.1509013116
114	0.1508462364
115	0.1508076579
116	0.1507732599
117	0.1507286156
118	0.1506867455
119	0.1506399919
120	0.1506394822
121	0.1505887919
122	0.1505334755
123	0.1504916397
124	0.1504370243
125	0.1504362673
126	0.1503953314
127	0.1503526892
128	0.1503109868
129	0.150310579
130	0.1502746597
131	0.1502155856
132	0.1502067056
133	0.1501548932
134	0.1501546546
135	0.1501538087
136	0.1500993819
137	0.150020035
138	0.1499897688
139	0.1499489786
140	0.1499489959
141	0.1499478486
142	0.1499407624
143	0.1499407472
144	0.1499200158
145	0.1499200072
146	0.1499196731
147	0.1499187578
148	0.1499187188
149	0.1499183544
150	0.1499181462
151	0.1498594897
152	0.1498444198
153	0.1498432745
154	0.1498422313
155	0.1498410058
156	0.1498020953
157	0.1497569885
158	0.1497563552
159	0.1497553835
160	0.1497543988
161	0.1497534184
162	0.1497523643
163	0.1497212477
164	0.149680899
165	0.1496397862
166	0.1496006224
167	0.1495257374
168	0.1494690242
169	0.1494404713
170	0.1494035158
171	0.1494035137
172	0.1494032642
173	0.1493713496
174	0.1493711978
175	0.1493707965
176	0.1493700678
177	0.1493697685
178	0.1493395566
179	0.1493087306
180	0.1493087328
181	0.1493087329
182	0.1493085506
183	0.1493083359
184	0.1493079888
185	0.1493078349
186	0.1492619235
187	0.1492319695
188	0.1491904215
189	0.1491537436
190	0.1490854507
191	0.1490577651
192	0.1490572055
193	0.1490568954
194	0.1490482997
195	0.1490477531
196	0.1490051619
197	0.1489667965
198	0.148931698
199	0.148931672
200	0.1489316677
201	0.1489315115
202	0.1488942354
203	0.1488942267
204	0.1488941811
205	0.1488471783
206	0.1488468052
207	0.1488049536
208	0.1488048864
209	0.14877878
210	0.148741805
211	0.1486892548
212	0.1486612271
